restaurant_name;restaurant_id;attribution;note;restaurant_type[0];restaurant_type[1];restaurant_type[2];restaurant_type[3];ranking_general;ranking_cuisinetype;address;Arrondissement;Ville;Nb avis;excellent;verygood;medium;mediocre;horrible;cuisine;service;ratio;ambiance;URL
L'Encrier;d718156; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 963 sur 15301 restaurants à  Paris;N° 663 sur 6939 Française à  Paris;55 rue Traversiere A proximià© de la gare Tgv;75012;Paris France;370;99;93;18;11;6;4;4,5;4,5;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d718156-Reviews-L_Encrier-Paris_Ile_de_France.html
Les Messugues;d1335817; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 2 490 sur 15301 restaurants à  Paris;N° 1 595 sur 6939 Française à  Paris;8 rue Leon Jost;75017;Paris France;128;52;42;8;2;2;4,5;4,5;4,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1335817-Reviews-Les_Messugues-Paris_Ile_de_France.html
Le Zinc du 16;d8786063; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Brasserie gastronomique;N° 2 537 sur 15301 restaurants à  Paris;N° 1 625 sur 6939 Française à  Paris;58 rue de la Faisanderie Brasserie le Zinc du 16;75016;Paris France;62;33;21;2;0;1;4,5;4,5;4,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d8786063-Reviews-Le_Zinc_du_16-Paris_Ile_de_France.html
Bistrot Brune;d15553378; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 3 431 sur 15301 restaurants à  Paris;N° 2 111 sur 6939 Française à  Paris;70 Rue du Faubourg Saint-Martin;75010;Paris France;51;21;19;3;1;1;4,5;4,5;4;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d15553378-Reviews-Bistrot_Brune-Paris_Ile_de_France.html
Bistro Mon Reve;d7347732; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 3 432 sur 15301 restaurants à  Paris;N° 2 112 sur 6939 Française à  Paris;68 avenue Felix Faure;75015;Paris France;76;29;32;5;1;1;4,5;4,5;4,5;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d7347732-Reviews-Bistro_Mon_Reve-Paris_Ile_de_France.html
La Mà¨re Poule;d8707588; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 569 sur 15301 restaurants à  Paris;N° 405 sur 6939 Française à  Paris;101 Rue Oberkampf;75011;Paris France;226;120;59;13;1;2;4,5;5;4,5;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d8707588-Reviews-La_Mere_Poule-Paris_Ile_de_France.html
Le Resto-Zinc des Marcheurs de Planete;d794535; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Bar à  vins;N° 1 754 sur 15301 restaurants à  Paris;N° 1 147 sur 6939 Française à  Paris;73 rue de la Roquette;75011;Paris France;104;45;27;3;0;2;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d794535-Reviews-Le_Resto_Zinc_des_Marcheurs_de_Planete-Paris_Ile_de_France.html
Bourgogne Sud;d2308085; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 842 sur 15301 restaurants à  Paris;N° 586 sur 6939 Française à  Paris;14 Rue de Clichy;75009;Paris France;914;263;278;41;15;11;4,5;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2308085-Reviews-Bourgogne_Sud-Paris_Ile_de_France.html
Le Chenin;d1336636; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Bar à  vins;N° 393 sur 15301 restaurants à  Paris;N° 275 sur 6939 Française à  Paris;33 rue le Peletier;75009;Paris France;704;218;84;15;5;4;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1336636-Reviews-Le_Chenin-Paris_Ile_de_France.html
Clairiere;d1035188; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 584 sur 15301 restaurants à  Paris;N° 416 sur 6939 Française à  Paris;1 rue Chaptal;75009;Paris France;132;67;33;3;0;1;4,5;5;4,5;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1035188-Reviews-Clairiere-Paris_Ile_de_France.html
Secrets de Famille;d4513654; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 1 667 sur 15301 restaurants à  Paris;N° 1 099 sur 6939 Française à  Paris;11 Rue Blanche;75009;Paris France;112;53;35;9;1;1;4,5;4,5;4,5;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4513654-Reviews-Secrets_de_Famille-Paris_Ile_de_France.html
Le Dit Vin;d3237450; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Bar à  vins;N° 2 678 sur 15301 restaurants à  Paris;N° 1 702 sur 6939 Française à  Paris;68 rue Blanche;75009;Paris France;86;29;31;1;1;2;4,5;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3237450-Reviews-Le_Dit_Vin-Paris_Ile_de_France.html
Le Renoir;d4243284; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 5 839 sur 15301 restaurants à  Paris;N° 3 393 sur 6939 Française à  Paris;38 Rue de valgirard ;75006;Paris France;34;14;7;2;0;0;5;5;4,5;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4243284-Reviews-Le_Renoir-Paris_Ile_de_France.html
Le Relais de la Poste;d3708413; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 6 487 sur 15301 restaurants à  Paris;N° 3 707 sur 6939 Française à  Paris;103 rue du Cherche Midi;75006;Paris France;23;10;8;0;0;0;4;4,5;4;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3708413-Reviews-Le_Relais_de_la_Poste-Paris_Ile_de_France.html
La Fontaine de Mars;d718664; Page non attribuée;4,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 722 sur 15301 restaurants à  Paris;N° 504 sur 6939 Française à  Paris;129 rue Saint Dominique;75007;Paris France;2150;438;251;81;23;12;4,5;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d718664-Reviews-La_Fontaine_de_Mars-Paris_Ile_de_France.html
Restaurant A l'Improviste;d4501924; Page non attribuée;4,5;Intermédiaire;Française;Européenne;-;N° 3 117 sur 15301 restaurants à  Paris;N° 1 935 sur 6939 Française à  Paris;21 Rue Mederic;75017;Paris France;79;25;26;7;3;0;4,5;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4501924-Reviews-Restaurant_A_l_Improviste-Paris_Ile_de_France.html
Camille;d714918; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 1 089 sur 15301 restaurants à  Paris;N° 752 sur 6939 Française à  Paris;24 rue des Francs Bourgeois Molto comodo per visitare i musei;75003;Paris France;977;164;195;41;14;7;4;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d714918-Reviews-Camille-Paris_Ile_de_France.html
le Richer;d3731107; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 1 138 sur 15301 restaurants à  Paris;N° 782 sur 6939 Française à  Paris;2 rue Richer;75009;Paris France;697;181;164;53;24;17;4,5;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3731107-Reviews-Le_Richer-Paris_Ile_de_France.html
Marie-Edith;d1116684; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 1 444 sur 15301 restaurants à  Paris;N° 973 sur 6939 Française à  Paris;34 rue du Laos;75015;Paris France;265;63;63;13;16;4;4;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1116684-Reviews-Marie_Edith-Paris_Ile_de_France.html
La Creperie de Josselin;d718650; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 1 520 sur 15301 restaurants à  Paris;N° 1 019 sur 6939 Française à  Paris;67 rue du Montparnasse;75014;Paris France;1779;282;271;105;94;74;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d718650-Reviews-La_Creperie_de_Josselin-Paris_Ile_de_France.html
La Vache au Comptoir;d1748352; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 1 562 sur 15301 restaurants à  Paris;N° 1 046 sur 6939 Française à  Paris;13 rue d Odessa;75014;Paris France;431;123;178;41;25;10;4;4;4;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1748352-Reviews-La_Vache_au_Comptoir-Paris_Ile_de_France.html
Le Quincampe;d719231; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 2 002 sur 15301 restaurants à  Paris;N° 1 299 sur 6939 Française à  Paris;78 rue Quincampoix;75003;Paris France;185;52;62;10;10;3;4;4;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d719231-Reviews-Le_Quincampe-Paris_Ile_de_France.html
Le Machon d'Henri;d719149; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 2 023 sur 15301 restaurants à  Paris;N° 1 307 sur 6939 Française à  Paris;8 rue Guisarde;75006;Paris France;332;70;46;10;13;13;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d719149-Reviews-Le_Machon_d_Henri-Paris_Ile_de_France.html
Aux Arts et Sciences reunis;d1035529; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 2 052 sur 15301 restaurants à  Paris;N° 1 319 sur 6939 Française à  Paris;161 avenue Jean Jaures;75019;Paris France;221;62;90;31;8;5;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1035529-Reviews-Aux_Arts_et_Sciences_reunis-Paris_Ile_de_France.html
Chez Troquette;d7199748; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 2 514 sur 15301 restaurants à  Paris;N° 1 610 sur 6939 Française à  Paris;1 rue Saint Maur;75011;Paris France;139;56;51;11;6;1;4;4,5;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d7199748-Reviews-Chez_Troquette-Paris_Ile_de_France.html
Le Troquet;d719459; Page non attribuée;4;Intermédiaire;Française;Européenne;Basque;N° 2 517 sur 15301 restaurants à  Paris;N° 1 612 sur 6939 Française à  Paris;21 rue Francois Bonvin;75015;Paris France;332;98;88;36;21;10;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d719459-Reviews-Le_Troquet-Paris_Ile_de_France.html
Le P'Tit Musset;d1752202; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 2 965 sur 15301 restaurants à  Paris;N° 1 860 sur 6939 Française à  Paris;132 rue Cardinet;75017;Paris France;209;37;106;28;6;3;4;4;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1752202-Reviews-Le_P_Tit_Musset-Paris_Ile_de_France.html
Les P'tites Indecises;d1508627; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 2 970 sur 15301 restaurants à  Paris;N° 1 862 sur 6939 Française à  Paris;2 Rue des 3 Bornes 11ieme Arrondissement;75011;Paris France;343;66;87;37;21;17;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1508627-Reviews-Les_P_tites_Indecises-Paris_Ile_de_France.html
Buvette Gastrotheque;d5778336; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 1 862 sur 15301 restaurants à  Paris;N° 1 208 sur 6939 Française à  Paris;28 rue Henry Monnier;75009;Paris France;455;81;59;34;21;24;4;4;3,5;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d5778336-Reviews-Buvette_Gastrotheque-Paris_Ile_de_France.html
Encore;d4695196; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 4 089 sur 15301 restaurants à  Paris;N° 2 489 sur 6939 Française à  Paris;43 rue Richer;75009;Paris France;138;44;37;13;12;3;4;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4695196-Reviews-Encore-Paris_Ile_de_France.html
Lou Pescadou;d742405; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 3 629 sur 15301 restaurants à  Paris;N° 2 225 sur 6939 Française à  Paris;16 rue Mabillon;75006;Paris France;201;55;38;14;7;7;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d742405-Reviews-Lou_Pescadou-Paris_Ile_de_France.html
L'Atelier d'Alexandre;d3213689; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 3 931 sur 15301 restaurants à  Paris;N° 2 393 sur 6939 Française à  Paris;26 rue Beaubourg 75003;75003;Paris France;113;46;30;7;4;6;4;4,5;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3213689-Reviews-L_Atelier_d_Alexandre-Paris_Ile_de_France.html
Le Bistrot Gourmand;d1988934; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 4 202 sur 15301 restaurants à  Paris;N° 2 550 sur 6939 Française à  Paris;78 rue Mouffetard;75005;Paris France;149;26;25;9;7;4;4;4;4;4,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1988934-Reviews-Le_Bistrot_Gourmand-Paris_Ile_de_France.html
Comptoir Principal;d11876671; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 4 483 sur 15301 restaurants à  Paris;N° 2 710 sur 6939 Française à  Paris;29 Boulevard De Grenelle;75015;Paris France;97;23;27;8;3;4;4;4;3,5;2;https://www.tripadvisor.fr/Restaurant_Review-g187147-d11876671-Reviews-Comptoir_Principal-Paris_Ile_de_France.html
Bistrot Favart;d5001190; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 4 607 sur 15301 restaurants à  Paris;N° 2 769 sur 6939 Française à  Paris;1 rue Favart;75002;Paris France;96;27;47;7;4;3;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d5001190-Reviews-Bistrot_Favart-Paris_Ile_de_France.html
Chez Mezig;d3653298; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 5 440 sur 15301 restaurants à  Paris;N° 3 180 sur 6939 Française à  Paris;44 quai de la Loire;75019;Paris France;125;33;51;14;6;9;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3653298-Reviews-Chez_Mezig-Paris_Ile_de_France.html
Restaurant La Marmite 2;d5797553; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 5 478 sur 15301 restaurants à  Paris;N° 3 203 sur 6939 Française à  Paris;66 Rue du Faubourg Poissonniere;75010;Paris France;104;29;29;8;11;6;4;4;4;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d5797553-Reviews-Restaurant_La_Marmite_2-Paris_Ile_de_France.html
Le Relais des Deux Gares;d3649357; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 6 232 sur 15301 restaurants à  Paris;N° 3 592 sur 6939 Française à  Paris;92 boulevard de Magenta 75010;75010;Paris France;47;9;17;3;0;1;4;4,5;4;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3649357-Reviews-Le_Relais_des_Deux_Gares-Paris_Ile_de_France.html
Gabrielle;d8814665; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 6 252 sur 15301 restaurants à  Paris;N° 3 602 sur 6939 Française à  Paris;70 avenue de Villiers;75017;Paris France;97;30;27;5;5;12;4;4;4;1;https://www.tripadvisor.fr/Restaurant_Review-g187147-d8814665-Reviews-Gabrielle-Paris_Ile_de_France.html
Bistrot Melac;d695191; Page non attribuée;4;Intermédiaire;Française;Européenne;Bar à  vins;N° 2 825 sur 15301 restaurants à  Paris;N° 1 781 sur 6939 Française à  Paris;42 rue Leon Frot;75011;Paris France;170;34;57;17;8;2;4;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d695191-Reviews-Bistrot_Melac-Paris_Ile_de_France.html
Le Monde des Grillades;d3784707; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 2 830 sur 15301 restaurants à  Paris;N° 1 784 sur 6939 Française à  Paris;4 rue de Lappe;75011;Paris France;165;40;46;8;6;4;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3784707-Reviews-Le_Monde_des_Grillades-Paris_Ile_de_France.html
Le Renouveau;d2225347; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 7 183 sur 15301 restaurants à  Paris;N° 4 057 sur 6939 Française à  Paris;9 Rue St Laurent;75010;Paris France;31;5;12;2;2;0;4;4,5;4,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2225347-Reviews-Le_Renouveau-Paris_Ile_de_France.html
Le Palace;d8139554; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 7 354 sur 15301 restaurants à  Paris;N° 4 144 sur 6939 Française à  Paris;3 rue Blaise Desgoffe;75006;Paris France;40;14;8;5;3;3;4;4;4;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d8139554-Reviews-Le_Palace-Paris_Ile_de_France.html
Aquarius;d695084; Page non attribuée;4;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 2 409 sur 15301 restaurants à  Paris;N° 1 543 sur 6939 Française à  Paris;Plaisance Pernety 40 rue de Gergovie;75014;Paris France;293;76;93;27;11;10;4;4;4;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d695084-Reviews-Aquarius-Paris_Ile_de_France.html
Aux Fins Gourmets;d695147; Page non attribuée;4;Intermédiaire;Française;Européenne;-;N° 7 545 sur 15301 restaurants à  Paris;N° 4 232 sur 6939 Française à  Paris;213 boulevard Saint Germain;75007;Paris France;34;6;9;1;1;0;4;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d695147-Reviews-Aux_Fins_Gourmets-Paris_Ile_de_France.html
Restaurant Jardin Notre Dame;d4290028; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 4 340 sur 15301 restaurants à  Paris;N° 2 619 sur 6939 Française à  Paris;2 rue du petit Pont;75005;Paris France;280;39;36;15;9;11;3,5;3,5;3,5;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4290028-Reviews-Restaurant_Jardin_Notre_Dame-Paris_Ile_de_France.html
Ma Bourgogne;d719566; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 4 390 sur 15301 restaurants à  Paris;N° 2 651 sur 6939 Française à  Paris;19 Place des Vosges;75004;Paris France;840;59;106;39;48;60;3,5;3;3;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d719566-Reviews-Ma_Bourgogne-Paris_Ile_de_France.html
Au Chai de l'Abbaye;d2215946; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 5 195 sur 15301 restaurants à  Paris;N° 3 051 sur 6939 Française à  Paris;26 rue de Buci;75006;Paris France;259;31;47;19;13;20;3,5;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2215946-Reviews-Au_Chai_de_l_Abbaye-Paris_Ile_de_France.html
L'Heure Gourmande;d2525794; Page non attribuée;3,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 5 230 sur 15301 restaurants à  Paris;N° 3 070 sur 6939 Française à  Paris;22 Passage Dauphine;75006;Paris France;170;30;60;29;11;9;4;3,5;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2525794-Reviews-L_Heure_Gourmande-Paris_Ile_de_France.html
L'Hortensia;d3365105; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 5 816 sur 15301 restaurants à  Paris;N° 3 380 sur 6939 Française à  Paris;4 Place du Marà©chal Juin Boulevard Pereire;75017;Paris France;204;25;68;28;24;16;3,5;3,5;3;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3365105-Reviews-L_Hortensia-Paris_Ile_de_France.html
Hortense;d803919; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 6 227 sur 15301 restaurants à  Paris;N° 3 588 sur 6939 Française à  Paris;Entree 1 1 rue Paul Cezanne 27 Rue De Courcelles;75008;Paris France;136;22;50;17;13;7;3,5;4;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d803919-Reviews-Hortense-Paris_Ile_de_France.html
Le Dix;d1443615; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 7 161 sur 15301 restaurants à  Paris;N° 4 047 sur 6939 Française à  Paris;10 Place de la Republique;75011;Paris France;108;16;35;15;4;6;4;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1443615-Reviews-Le_Dix-Paris_Ile_de_France.html
La Mascotte;d4359698; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 7 314 sur 15301 restaurants à  Paris;N° 4 120 sur 6939 Française à  Paris;270 rue du Faubourg Saint Honore;75008;Paris France;86;14;28;11;5;6;3,5;4;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4359698-Reviews-La_Mascotte-Paris_Ile_de_France.html
Le Gabin;d2614320; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 8 201 sur 15301 restaurants à  Paris;N° 4 539 sur 6939 Française à  Paris;25 rue Lambert;75018;Paris France;173;28;51;17;10;27;3,5;3;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2614320-Reviews-Le_Gabin-Paris_Ile_de_France.html
L'avant Scene;d5960954; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 8 438 sur 15301 restaurants à  Paris;N° 8 438 sur 15301 Restaurants à  Paris;30 rue de Clichy;75009;Paris France;139;28;39;26;22;15;3,5;3,5;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d5960954-Reviews-L_avant_Scene-Paris_Ile_de_France.html
Le Grand Comptoir d'Anvers;d12512232; Page non attribuée;3,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 9 346 sur 15301 restaurants à  Paris;N° 5 020 sur 6939 Française à  Paris;2 Place D'anvers;75009;Paris France;60;12;9;7;3;6;4;4;3,5;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d12512232-Reviews-Le_Grand_Comptoir_d_Anvers-Paris_Ile_de_France.html
J'Go Drouot;d718066; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 4 447 sur 15301 restaurants à  Paris;N° 2 686 sur 6939 Française à  Paris;4 Rue Drouot;75009;Paris France;371;56;131;57;46;20;4;4;3,5;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d718066-Reviews-J_Go_Drouot-Paris_Ile_de_France.html
Un Bistrot en Ville;d3507196; Page non attribuée;3,5;Intermédiaire;Française;Bar;Européenne;N° 9 176 sur 15301 restaurants à  Paris;N° 9 176 sur 15301 Restaurants à  Paris;11 rue de Moscou;75008;Paris France;105;17;15;23;9;14;3;3;3;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3507196-Reviews-Un_Bistrot_en_Ville-Paris_Ile_de_France.html
Brasserie Haussmann;d824621; Page non attribuée;3,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 7 716 sur 15301 restaurants à  Paris;N° 4 312 sur 6939 Française à  Paris;12 boulevard Haussmann Millennium Hotel Paris Opà©ra;75009;Paris France;126;17;19;18;9;5;3,5;3,5;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d824621-Reviews-Brasserie_Haussmann-Paris_Ile_de_France.html
Au Petit Duc;d5960937; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 9 360 sur 15301 restaurants à  Paris;N° 5 024 sur 6939 Française à  Paris;16 boulevard de Bonne Nouvelle;75010;Paris France;59;4;15;7;4;9;3,5;3,5;3;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d5960937-Reviews-Au_Petit_Duc-Paris_Ile_de_France.html
LE MARIGNY;d3215276; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 10 023 sur 15301 restaurants à  Paris;N° 5 290 sur 6939 Française à  Paris;2 rue Armand Carrel;75019;Paris France;25;4;5;4;3;2;4;4;4;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3215276-Reviews-LE_MARIGNY-Paris_Ile_de_France.html
Le Saulnier;d1035502; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 10 204 sur 15301 restaurants à  Paris;N° 5 371 sur 6939 Française à  Paris;39 boulevard de Strasbourg;75010;Paris France;85;13;12;8;3;2;3;3,5;3;3;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1035502-Reviews-Le_Saulnier-Paris_Ile_de_France.html
Yard;d3653068; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 8 150 sur 15301 restaurants à  Paris;N° 4 514 sur 6939 Française à  Paris;6 de Mont-Louis;75011;Paris France;127;28;31;15;12;12;3,5;3,5;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3653068-Reviews-Yard-Paris_Ile_de_France.html
Aux Deux Amis;d3158528; Page non attribuée;3,5;Intermédiaire;Française;Européenne;Bar à  vins;N° 11 190 sur 15301 restaurants à  Paris;N° 5 692 sur 6939 Française à  Paris;45 rue Oberkampf 75011;75011;Paris France;147;23;22;18;12;23;4;3;3;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3158528-Reviews-Aux_Deux_Amis-Paris_Ile_de_France.html
L'Express 27;d13427868; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 11 456 sur 15301 restaurants à  Paris;N° 5 779 sur 6939 Française à  Paris;27 Boulevard de Vaugirard;75015;Paris France;14;4;2;6;0;1;3;3,5;3;5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d13427868-Reviews-L_Express_2-Paris_Ile_de_France.html
Le Royal Malesherbes - Chez Alice;d4191941; Page non attribuée;3,5;Intermédiaire;Française;Européenne;-;N° 11 650 sur 15301 restaurants à  Paris;N° 5 847 sur 6939 Française à  Paris;188 boulevard Malesherbes;75017;Paris France;14;5;3;3;1;2;3,5;4;4;1;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4191941-Reviews-Le_Royal_Malesherbes_Chez_Alice-Paris_Ile_de_France.html
La Nouvelle Seine;d4567336; Page non attribuée;3,5;Intermédiaire;Française;Européenne;Végétariens bienvenus;N° 14 450 sur 15301 restaurants à  Paris;N° 6 644 sur 6939 Française à  Paris;3 quai de Montebello;75005;Paris France;249;48;67;43;28;23;3,5;3,5;3;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d4567336-Reviews-La_Nouvelle_Seine-Paris_Ile_de_France.html
Le Pot de Fer - Chez Robert;d3469821; Page non attribuée;3;Intermédiaire;Française;Européenne;-;N° 9 273 sur 15301 restaurants à  Paris;N° 4 996 sur 6939 Française à  Paris;12 rue du Pot de Fer;75005;Paris France;227;43;29;25;13;39;3;3,5;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d3469821-Reviews-Le_Pot_de_Fer_Chez_Robert-Paris_Ile_de_France.html
Le Jardin du Roy;d2154949; Page non attribuée;3;Intermédiaire;Française;Européenne;-;N° 9 558 sur 15301 restaurants à  Paris;N° 5 106 sur 6939 Française à  Paris;28 rue de la Huchette Hà´tel du Mont Blanc;75005;Paris France;261;17;16;12;8;24;3,5;3,5;3,5;3,5;https://www.tripadvisor.fr/Restaurant_Review-g187147-d2154949-Reviews-Le_Jardin_du_Roy-Paris_Ile_de_France.html
Le Petit Bofinger;d719825; Page non attribuée;3;Intermédiaire;Française;Européenne;-;N° 10 809 sur 15301 restaurants à  Paris;N° 5 577 sur 6939 Française à  Paris;6 rue de la Bastille;75004;Paris France;100;8;23;15;12;10;3;3,5;3;4;https://www.tripadvisor.fr/Restaurant_Review-g187147-d719825-Reviews-Le_Petit_Bofinger-Paris_Ile_de_France.html
